,sampling rate,sampling width in bytes,nframes,nchannels
0,44100,2,176400,2
1,48000,2,192000,1
10,44100,2,176400,2
100,44100,2,176400,2
1000,44100,2,176400,2
1001,44100,2,176400,2
1003,48000,2,192000,2
1004,44100,2,176400,2
1006,44100,2,176400,2
1007,16000,2,64000,1
1008,48000,2,17561,2
101,48000,2,55200,2
1014,44100,2,55125,2
1015,48000,2,192000,2
1017,48000,2,192000,2
1018,44100,2,176400,2
1021,48000,2,192000,1
1022,44100,2,176400,2
1024,48000,2,192000,2
1025,44100,2,176400,2
1026,44100,2,70881,2
1027,44100,2,176400,2
1028,44100,2,176400,2
1029,44100,2,176400,2
103,48000,2,192000,2
1030,48000,2,192000,1
1032,44100,2,176400,2
1034,48000,2,168433,2
1036,48000,2,192000,2
1038,48000,2,33931,2
104,44100,2,176400,2
1040,48000,2,192000,2
1042,44100,2,176400,2
1043,48000,2,192000,2
1044,44100,2,176400,2
1045,44100,2,176400,2
1047,44100,2,176400,2
1048,48000,2,192000,2
1049,44100,2,176400,2
105,48000,2,192000,2
1051,44100,2,176400,2
1052,24000,2,96000,2
1054,44100,2,176400,2
1055,44100,2,131859,2
1056,44100,2,176400,2
1058,44100,2,176400,2
1059,44100,2,11861,2
1061,48000,2,192000,2
1062,96000,2,117810,2
1063,44100,2,176400,2
1066,48000,2,192000,2
1068,44100,2,176400,2
1069,48000,2,192000,2
1070,44100,2,176400,2
1071,48000,2,192000,2
1072,44100,2,176400,2
1074,44100,2,176400,2
1076,44100,2,176400,2
1077,48000,2,192000,2
1078,44100,2,176400,2
1079,48000,2,192000,2
1080,44100,2,176400,2
1082,48000,2,79142,2
1083,44100,2,176400,2
1085,48000,2,192000,2
1087,48000,2,192000,2
1088,44100,2,176400,2
1089,44100,2,176400,2
1090,48000,2,192000,2
1091,48000,2,192000,2
1092,44100,2,176400,2
1096,48000,2,192000,2
1098,48000,2,192000,2
11,44100,2,176400,2
1100,44100,2,176400,2
1105,44100,2,176400,2
1106,48000,2,192000,2
1112,44100,2,176400,2
1113,44100,2,176400,2
1115,44100,2,176400,2
1116,44100,2,176400,2
1118,48000,2,192000,2
1119,48000,2,192000,2
1120,11025,2,44100,2
1126,44100,2,176400,2
1129,44100,2,176400,2
113,48000,2,192000,2
1131,44100,2,176400,2
1133,96000,2,384000,2
1134,48000,2,192000,2
1137,48000,2,192000,2
1139,48000,2,192000,2
114,48000,2,192000,2
1143,48000,2,192000,2
1145,44100,2,176400,2
1147,44100,2,176400,2
1148,48000,2,192000,2
1149,48000,2,192000,2
1150,44100,2,176400,2
1151,44100,2,176400,2
1152,48000,2,192000,2
1156,44100,2,176400,2
1157,48000,2,192000,2
1158,48000,2,192000,2
116,44100,2,82282,2
1160,48000,2,144960,2
1162,48000,2,192000,2
1168,48000,2,192000,2
117,48000,2,192000,2
1174,44100,2,176400,2
1175,48000,2,192000,2
1176,48000,2,192000,2
118,44100,2,176400,2
1180,44100,2,176400,2
1181,44100,2,176400,2
1182,44100,2,2646,2
1183,44100,2,176400,2
1186,44100,2,116424,2
1187,24000,2,96000,2
1188,44100,2,176400,2
1189,48000,2,51637,2
119,44100,2,176400,2
1191,24000,2,96000,2
1195,48000,2,192000,2
12,44100,2,50208,2
120,44100,2,176400,2
1200,48000,2,192000,2
1203,48000,2,192000,2
1205,44100,2,49751,2
1206,48000,2,192000,2
1209,48000,2,192000,2
121,44100,2,176400,2
1210,48000,2,129120,1
1214,48000,2,192000,2
1217,48000,2,192000,2
1218,48000,2,192000,2
1219,48000,2,11520,2
1220,44100,2,111573,2
1224,44100,2,176400,2
1226,44100,2,176400,2
1228,48000,2,66240,2
123,44100,2,93933,1
1230,48000,2,192000,2
1231,44100,2,60321,1
1232,44100,2,176400,2
1235,44100,2,176400,2
1236,44100,2,176400,1
1237,44100,2,176400,2
1240,44100,2,176400,2
1241,11025,1,44100,1
1242,48000,2,192000,2
1243,44100,2,8379,2
1244,48000,2,54720,2
1245,48000,2,192000,2
1246,44100,2,46541,2
1248,44100,2,176400,2
125,44100,2,176400,2
1251,48000,2,192000,2
1252,44100,2,87254,2
1255,44100,2,176400,2
1256,48000,2,192000,2
1257,48000,2,192000,2
1259,48000,2,192000,2
1261,44100,2,176400,2
1262,44100,2,176400,2
1265,48000,2,192000,2
1267,48000,2,192000,2
1269,48000,2,192000,2
1270,48000,2,192000,2
1271,48000,2,192000,2
1272,44100,2,176400,2
1273,44100,2,131670,2
1275,44100,2,176400,2
1276,48000,2,65280,2
1277,44100,2,176400,2
1278,44100,2,176400,2
1279,48000,2,192000,2
128,44100,2,176400,2
1286,48000,2,98880,2
1287,44100,2,176400,2
1289,48000,2,192000,2
1292,44100,2,176400,2
1294,48000,2,192000,2
1295,44100,2,176400,2
1296,16000,1,64000,2
1297,48000,2,192000,2
1298,44100,2,176400,2
130,44100,2,48069,2
1300,44100,2,176400,1
1301,48000,2,192000,2
1302,44100,2,176400,2
1303,44100,2,176400,2
1305,44100,2,176400,2
1306,44100,2,176400,2
1308,44100,2,176400,2
131,44100,2,174195,2
1310,48000,2,192000,2
1311,44100,2,176400,2
1312,44100,2,176400,2
1314,48000,2,35040,2
1316,24000,2,96000,2
1317,48000,2,192000,2
1318,44100,2,176400,2
1319,44100,2,62181,2
132,16000,2,64000,1
1321,48000,2,192000,2
1322,44100,2,176400,2
1323,48000,2,192000,2
1326,48000,2,192000,2
1327,48000,2,192000,2
1328,44100,2,176400,2
1329,44100,2,176400,2
1330,48000,2,192000,2
1332,48000,2,192000,2
1334,44100,2,176400,2
1335,44100,2,176400,2
1337,44100,2,76108,1
