ID,Zero Crossing Rate,Spectral Centroid,Spectral Rolloff
0,8594,973.2338538,1820.429475
1,8505,995.0343528,2023.748844
10,18684,1508.308747,2577.305961
100,7848,1551.962797,3168.439198
1000,10766,1209.128782,2238.985012
1001,17681,1600.805217,2981.100331
1003,6107,856.7211677,1210.58408
1004,6251,1619.345145,3668.227964
1006,12873,1665.153265,3685.236073
1007,18336,2761.470468,4413.879395
1008,1003,1072.658716,1782.641602
101,4229,1016.682169,1567.338053
1014,3692,1828.128336,3957.822673
1015,6031,1133.486943,2378.617177
1017,9809,792.9048065,1004.128769
1018,5751,506.4330915,697.8630265
1021,14463,1841.455151,3889.348911
1022,13769,1488.173427,2679.011337
1024,18944,1832.9057,2775.148822
1025,14232,1475.195415,3022.668775
1026,3518,845.0523691,1542.489953
1027,10335,1090.450099,2020.095321
1028,4228,1279.813998,2857.019149
1029,8539,1261.172749,2786.115617
103,8215,1174.474418,2557.354217
1030,7007,749.0710935,1496.357175
1032,7312,922.9239608,1716.196289
1034,6076,1104.257535,2103.610684
1036,3057,605.4779059,1189.222685
1038,4393,2482.217258,5594.936815
104,13988,1414.636438,2863.47911
1040,1955,530.6227473,905.8262602
1042,11736,1250.920091,2516.638502
1043,8638,1162.876905,2532.213057
1044,5566,1053.375197,2115.902471
1045,16840,2293.040989,5180.326936
1047,16288,1183.654735,2003.711362
1048,4484,918.3578809,1508.727313
1049,23194,2355.743084,5130.270041
105,7057,925.1608108,1815.947707
1051,12569,1724.5024,3775.675526
1052,21067,3180.696391,6084.046189
1054,20375,2253.704307,4434.560335
1055,9785,1373.610568,2793.933105
1056,15337,1269.412771,1980.243291
1058,15938,1795.904117,3779.607677
1059,1283,2255.237427,5358.627319
1061,4508,587.2736532,746.6752722
1062,23282,2199.657005,3651.462624
1063,3351,492.1174469,704.4166101
1066,29825,2448.908823,4688.969519
1068,9744,814.5426434,1289.401962
1069,9916,814.6838707,1311.578239
1070,5915,1320.728173,2942.02849
1071,3427,608.9482449,1054.29655
1072,20990,1541.964649,2338.942765
1074,7546,744.4399459,1401.062542
1076,24213,2706.364579,6223.719854
1077,3698,1597.579442,4688.54
1078,14919,1269.737949,2145.299975
1079,1649,436.236283,515.9664722
1080,5600,1195.063588,2856.800696
1082,2187,1063.169651,1932.084016
1083,6020,832.1069583,1487.632261
1085,1235,233.5387634,124.6176862
1087,9038,1187.903306,2577.51296
1088,1241,686.4283902,862.5140115
1089,8646,1408.206521,3199.428286
1090,11870,1023.273455,2001.385238
1091,14237,1528.525861,3284.729783
1092,8849,1250.671242,2738.087211
1096,7222,861.0072951,1300.811638
1098,11783,1493.550512,2873.336792
11,36644,3029.084404,5712.977242
1100,8963,1040.594137,1660.678074
1105,7400,894.7033429,1369.792587
1106,10423,1237.834783,2502.948517
1112,4298,379.9640548,481.4075238
1113,42123,3092.993853,5966.569718
1115,17038,1537.776675,2844.130435
1116,4906,941.9811071,1546.676928
1118,9386,703.429235,1013.234565
1119,9386,739.0704661,1117.034912
1120,1103,2044.527938,4561.326441
1126,17527,1611.941576,3008.500552
1129,8889,1069.37169,2013.63536
113,5100,823.9151247,1473.993569
1131,8734,1154.150898,2325.086617
1133,1495,226.2697754,290.8989511
1134,8271,1071.275147,2148.595607
1137,5973,1544.372095,3635.818352
1139,8070,551.5561892,754.5211467
114,40920,4660.374559,7973.556129
1143,12935,916.5574032,1492.119258
1145,42504,2917.585127,4930.229704
1147,14447,1438.681274,2475.975076
1148,19052,1961.783344,4091.337228
1149,12553,1609.900688,3672.298805
1150,36464,2433.13725,4541.258916
1151,7572,1112.766913,2217.951129
1152,10762,1473.749299,3386.010288
1156,11686,1283.445312,2462.087721
1157,6808,750.1736294,1107.385059
1158,2182,251.6918025,439.3689744
116,6561,1413.817658,2563.788638
1160,35230,3786.382887,7511.410565
1162,4186,1274.526681,3365.307487
1168,29036,2421.453045,4657.901001
117,19348,1953.475613,4086.78433
1174,15365,1268.336084,2295.907566
1175,8894,1169.304403,2286.070219
1176,31496,2533.195804,4923.486718
118,19916,1569.539725,2754.908076
1180,9193,798.0995201,1419.599822
1181,9136,1179.055677,2419.676673
1182,231,1444.211948,2898.010254
1183,9029,1138.353087,2374.831437
1186,1494,376.2833073,774.6286493
1187,11398,1756.747015,2962.247159
1188,13703,1774.440586,3826.450195
1189,2223,1599.441004,3060.593044
119,11541,1510.757475,3491.905358
1191,15795,2223.593603,3890.351121
1195,17551,1576.725496,2967.286844
12,6023,1531.858292,2596.599787
120,6021,946.1109314,1801.798573
1200,9011,993.8051908,1938.675511
1203,16374,2289.777293,5738.08321
1205,213,484.3800174,740.0390625
1206,4827,726.4273341,1281.798278
1209,4470,874.8845799,1152.48452
121,33571,2786.819181,5160.853431
1210,2587,991.5080634,2483.042166
1214,18361,2112.333471,4606.616471
1217,9447,1011.372347,1929.397908
1218,11029,1239.248112,1384.882761
1219,808,2009.536522,4546.782651
1220,11236,1345.754124,1961.743948
1224,8543,1030.094371,1323.667841
1226,8444,930.7794827,1235.475331
1228,6680,1572.277875,2994.274715
123,6435,1420.176034,2826.057368
1230,61872,3460.628834,5853.366024
1231,6073,1527.967128,2665.555068
1232,8871,1027.3452,1617.892536
1235,15897,1873.442098,3930.933042
1236,11501,1110.858041,1684.957541
1237,8475,1160.525061,2391.589886
1240,58723,3734.871591,6297.837763
1241,0,1294.206034,2777.411941
1242,9866,662.9441873,820.1516009
1243,313,760.8367576,996.8606388
1244,1660,801.5719758,1562.364696
1245,5666,849.4427449,1686.777123
1246,3269,1590.667287,3267.13116
1248,74666,5359.928592,8264.131284
125,8286,1110.734865,2168.736838
1251,10697,866.8537547,1410.71115
1252,17039,2519.950643,4162.141499
1255,9837,1175.089399,2383.382303
1256,6565,1023.993682,2257.235198
1257,4641,628.0911453,991.8158998
1259,25721,1755.049341,2929.86145
1261,42651,3129.641677,5951.933381
1262,18691,1854.238638,3791.653787
1265,8678,1344.636993,2801.40673
1267,3243,809.4334324,830.7750296
1269,8370,810.2211811,1375.461984
1270,7080,1497.088201,4030.145134
1271,30419,2667.001137,5160.008337
1272,12956,2163.295478,4845.782099
1273,7330,1468.539365,2935.693359
1275,18881,2355.820455,5230.102964
1276,1958,2047.07693,4786.006737
1277,17014,1169.820405,1852.136337
1278,13692,1523.190028,3086.113706
1279,3693,833.3758474,966.3311248
128,15761,1846.28151,3850.480002
1286,3195,740.1216515,1478.132299
1287,28092,1886.812098,2768.764224
1289,13953,1168.88105,2083.595114
1292,5987,1624.111085,3704.491126
1294,7891,632.5838033,891.2226251
1295,8305,1127.728036,1472.496603
1296,0,878.0713875,1760.595703
1297,9752,1232.191087,2590.226713
1298,11508,1152.564557,1942.95028
130,8451,2468.882738,4693.092898
1300,9677,808.8129025,1206.577148
1301,5993,871.5436499,1691.788174
1302,57279,3572.915337,6205.525858
1303,16852,1336.646048,2323.963145
1305,2774,330.72477,606.362517
1306,36270,2749.959823,4922.67748
1308,7955,747.4214182,1094.167587
131,13290,959.0147409,1745.357677
1310,15029,1818.543851,4303.548091
1311,4106,777.5935161,1139.293691
1312,13357,2052.611756,4790.888035
1314,1286,1076.547847,1971.848463
1316,10218,1595.285984,2630.486931
1317,7784,709.2832653,1466.548579
1318,7258,1084.727737,2405.539657
1319,3439,1480.4348,3368.710777
132,7652,2298.874442,4690.649414
1321,6893,1060.477545,2116.725321
1322,73317,5366.839216,8281.701129
1323,13805,1691.25061,3839.954263
1326,7891,872.6017878,1297.089142
1327,3097,813.6873894,968.7936986
1328,34906,2679.604785,5113.074686
1329,1174,584.6912349,1067.828422
1330,9262,725.9734033,1187.304168
1332,9416,687.6809886,880.8569076
1334,6844,1029.797718,2287.138247
1335,13086,2118.660547,4747.197478
1337,1858,989.3580134,1598.587425
1338,7877,1533.057974,3440.444124
1339,8302,960.8693061,1841.525773
134,13167,1338.189171,2404.130587
1341,2875,893.8380691,1656.329922
1345,151,1212.030945,2590.571002
1346,71934,3882.22646,6393.299638
1347,26287,2389.947539,4941.411964
1349,8011,1305.507214,3066.827446
135,2525,581.5817574,1164.482409
1350,682,877.0848425,1570.519489
1351,1236,225.1688642,124.4172441
1352,3489,586.2499711,644.7648069
1353,7204,2726.012969,4988.7615
1355,7939,759.8032472,1334.686344
1356,25914,1748.328217,2931.150006
1357,43279,3896.456887,7811.902811
1358,15553,1925.848452,4544.164455
136,71154,5292.334079,8245.750042
1361,13076,1545.475629,2928.630163
1363,2924,704.8374664,1416.495335
1365,8064,907.0286965,1587.184316
1366,6229,739.6768141,1453.990532
1367,32856,2654.086301,4858.483568
1368,7665,1569.849411,2686.037034
137,3078,996.7092163,1943.097855
1370,24357,1772.888222,2919.278193
1371,6929,1347.253812,3382.14462
1377,3731,976.4336337,1961.61239
1378,5549,854.6087561,1162.764334
138,37210,2901.099126,5670.691024
1380,15811,1206.366738,2102.171153
1381,39981,2754.751079,4963.632397
1384,7432,2223.653781,4543.676758
1385,24996,1921.753222,3534.795558
1386,7834,907.6685596,1429.430197
1388,7100,694.2588908,1433.16066
139,1634,1654.95046,2087.644043
1390,7891,1321.656391,2930.376873
1393,7766,546.223105,747.1047909
1394,20313,1572.043529,3321.044073
1396,57033,3678.826418,6343.712848
1398,8070,835.9549102,1352.129119
1399,13439,2184.303254,4847.779382
140,38503,2708.865186,5299.508534
1400,1633,713.0339149,1114.558594
1404,3502,376.4454048,543.8565518
1405,6995,818.6540048,1527.482962
1409,3531,500.500995,720.4884935
1412,32244,2586.992598,5021.617419
1414,6451,870.3392355,1725.261997
1415,18222,2117.583923,4432.775944
1417,5545,963.1002743,1863.635966
1418,8609,1611.080733,2947.604519
1419,10401,955.2991728,1765.12133
142,38432,2863.307423,5593.106339
1423,10887,1419.575837,2649.843906
1425,5155,1273.802027,2372.384766
1428,13482,1504.450767,3201.300739
1431,3486,577.6548954,958.8080911
1432,58503,4685.001285,7920.317807
1435,21263,1874.693709,3861.059358
1436,22757,3179.334575,5426.138111
1437,3510,884.3300839,1372.126465
1444,3207,426.3556208,752.0299384
1446,11944,1347.321412,2739.155157
1447,20692,2591.600609,5216.598759
1448,18080,1304.117103,1893.049423
1449,3075,405.5170064,676.2628434
1450,7213,1394.471982,3188.7241
1452,13078,1565.979298,3316.85778
1454,13874,1769.017521,4255.522673
1458,16391,2072.062557,5164.067807
1459,4761,1860.352708,2011.407341
146,38151,2941.758639,5751.268894
1460,13026,2125.319932,4730.813519
1461,1890,960.2512338,2145.518427
1462,4038,418.0563721,521.5092137
1467,8465,1282.628064,2461.682023
1468,1142,1012.23194,1916.455078
1469,17705,1391.344389,2191.580757
1470,25821,1657.369261,2705.394988
1471,6289,1919.329739,4172.485352
1472,31770,2243.666349,4429.540236
1473,32505,3501.396051,7156.794115
1475,20370,1920.677017,4458.340481
1477,2929,868.6864024,1646.448898
1478,7624,660.7235349,841.7420732
1479,8848,1276.870744,2583.726664
148,3812,1237.147807,2446.851871
1480,15053,1238.699071,2113.145999
1481,7283,1196.717575,2557.526024
1483,17127,2076.496504,4438.932378
1485,12956,1268.609646,2347.520025
1488,144,885.4799317,1309.936523
1489,0,0,0
149,3918,401.5679831,556.7134776
1491,2826,840.5724611,1595.912572
1492,8080,1207.243527,2078.526793
1493,20395,1489.943075,2519.821671
